"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Attendance","Referee","HS","AS","HST","AST","HHW","AHW","HC","AC","HF","AF","HO","AO","HY","AY","HR","AR","HBP","ABP","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","SBH","SBD","SBA","WHH","WHD","WHA"
"1","E0",2000-08-19,"Charlton","Man City",4,0,"H",2,0,"H",20043,"Rob Harris",17,8,14,4,2,1,6,6,13,12,8,6,1,2,0,0,10,20,2,3,3.2,2.2,2.9,2.7,2.2,3.25,2.75,2.2,3.25,2.88,2.1,3.2,3.1
"2","E0",2000-08-19,"Chelsea","West Ham",4,2,"H",1,0,"H",34914,"Graham Barber",17,12,10,5,1,0,7,7,19,14,2,3,1,2,0,0,10,20,1.47,3.4,5.2,1.6,3.2,4.2,1.5,3.4,6,1.5,3.6,6,1.44,3.6,6.5
"3","E0",2000-08-19,"Coventry","Middlesbrough",1,3,"A",1,1,"D",20624,"Barry Knight",6,16,3,9,0,1,8,4,15,21,1,3,5,3,1,0,75,30,2.15,3,3,2.2,2.9,2.7,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.62
"4","E0",2000-08-19,"Derby","Southampton",2,2,"D",1,2,"A",27223,"Andy D'Urso",6,13,4,6,0,0,5,8,11,13,0,2,1,1,0,0,10,10,2,3.1,3.2,1.8,3,3.5,2.2,3.25,2.75,2.05,3.2,3.2,2,3.2,3.2
"5","E0",2000-08-19,"Leeds","Everton",2,0,"H",2,0,"H",40010,"Dermot Gallagher",17,12,8,6,0,0,6,4,21,20,6,1,1,3,0,0,10,30,1.65,3.3,4.3,1.55,3.3,4.5,1.55,3.5,5,1.57,3.6,5,1.61,3.5,4.5
"6","E0",2000-08-19,"Leicester","Aston Villa",0,0,"D",0,0,"D",21455,"Mike Riley",5,5,4,3,0,0,5,4,12,12,1,4,2,3,0,0,20,30,2.15,3.1,2.9,2.3,2.9,2.5,2.35,3.2,2.6,2.25,3.25,2.75,2.4,3.25,2.5
"7","E0",2000-08-19,"Liverpool","Bradford",1,0,"H",0,0,"D",44183,"Paul Durkin",16,3,10,2,0,0,6,1,8,8,5,0,1,1,0,0,10,10,1.25,4.1,7.2,1.25,4.3,8,1.35,4,8,1.36,4,8,1.33,4,8
"8","E0",2000-08-19,"Sunderland","Arsenal",1,0,"H",0,0,"D",46346,"Steve Dunn",8,14,2,7,0,0,2,9,10,21,2,3,3,1,0,1,30,35,2.85,3.25,2.1,2.9,2.9,2.1,4.3,3.2,1.7,3.3,3.1,2.05,3.75,3,1.9
"9","E0",2000-08-19,"Tottenham","Ipswich",3,1,"H",2,1,"H",36148,"Alan Wiley",20,15,6,5,2,1,3,4,14,13,2,3,0,0,0,0,0,0,1.45,3.6,7,1.5,3.4,4.7,1.45,3.6,6.5,1.5,3.5,6.5,1.44,3.6,6.5
"10","E0",2000-08-20,"Man United","Newcastle",2,0,"H",1,0,"H",67477,"Steve Lodge",19,9,9,6,2,0,7,1,7,13,5,9,0,1,0,0,0,10,1.38,3.5,7,1.45,3.5,5,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,7
"11","E0",2000-08-21,"Arsenal","Liverpool",2,0,"H",1,0,"H",38014,"Graham Poll",17,7,12,4,0,0,10,11,25,20,5,4,2,4,1,2,45,90,2,3.2,3,2.1,2.9,2.9,2.1,3.2,3,2.2,3,3.1,2.1,3,3.2
"12","E0",2000-08-22,"Bradford","Chelsea",2,0,"H",1,0,"H",17872,"Mark Halsey",12,14,3,6,0,0,6,4,14,16,5,6,0,1,0,0,0,10,4.8,3.3,1.61,3.8,3.2,1.65,4.5,3.5,1.6,5.25,3.75,1.5,5,3.5,1.57
"13","E0",2000-08-22,"Ipswich","Man United",1,1,"D",1,1,"D",22007,"Jeff Winter",13,15,8,6,0,0,4,6,10,7,9,4,1,4,0,0,10,40,7,3.8,1.35,4.7,3.4,1.5,6,3.75,1.45,7,3.75,1.4,7,3.8,1.4
"14","E0",2000-08-22,"Middlesbrough","Tottenham",1,1,"D",0,1,"A",31254,"Peter Jones",12,11,6,4,0,0,5,5,9,18,2,3,2,1,0,0,20,10,2.15,3.05,3.1,2.1,2.9,2.9,2.25,3.4,2.65,2.05,3.25,3,2.2,3.2,2.8
"15","E0",2000-08-23,"Everton","Charlton",3,0,"H",0,0,"D",36300,"Andy Hall",13,8,8,4,0,0,3,5,17,15,1,4,2,1,0,1,20,35,1.71,3.4,4,1.6,3.2,4.2,1.8,3.25,3.75,2,3.1,3.2,1.9,3,3.7
"16","E0",2000-08-23,"Man City","Sunderland",4,2,"H",2,0,"H",34410,"David Ellaray",15,9,10,4,0,0,7,3,24,14,5,4,3,3,0,0,30,30,2.4,3.1,2.6,2.4,2.9,2.4,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.1,2.5
"17","E0",2000-08-23,"Newcastle","Derby",3,2,"H",1,1,"D",51327,"Dermot Gallagher",9,10,4,5,0,0,9,6,23,11,2,3,0,3,1,0,25,30,1.6,3.3,4.5,1.55,3.3,4.5,1.55,3.5,5,1.53,3.4,6,1.53,3.4,5.5
"18","E0",2000-08-23,"Southampton","Coventry",1,2,"A",0,1,"A",14801,"F Taylor",12,7,4,5,0,0,6,5,18,20,0,6,5,3,0,0,50,30,1.9,2.9,3.2,1.9,2.9,3.2,1.8,3.25,3.75,1.75,3.25,4.33,1.7,3.25,4.33
"19","E0",2000-08-23,"West Ham","Leicester",0,1,"A",0,0,"D",25195,"Rob Styles",17,4,12,2,1,0,11,5,16,14,3,1,3,3,1,0,55,30,1.8,3.35,3.8,1.65,3.2,3.8,1.8,3.25,3.75,1.75,3.4,4,1.72,3.4,4
"20","E0",2000-08-26,"Arsenal","Charlton",5,3,"H",1,2,"A",38025,"Steve Lodge",18,7,9,4,0,0,8,3,12,15,3,2,0,1,0,0,0,10,1.3,4.3,8.2,1.35,3.8,6.2,1.35,3.75,8,1.3,4.33,8.5,1.33,3.75,9
"21","E0",2000-08-26,"Bradford","Leicester",0,0,"D",0,0,"D",16766,"Steve Bennett",8,13,4,8,0,0,6,8,11,12,4,4,1,2,0,0,10,20,2.15,3.3,2.8,2.35,3,2.35,2.4,3.25,2.5,2.3,3.1,2.8,2.5,3.1,2.5
"22","E0",2000-08-26,"Everton","Derby",2,2,"D",2,0,"H",34840,"Mike Riley",12,7,9,4,0,0,11,2,11,9,2,2,2,3,0,0,20,30,1.66,3.5,4.1,1.8,3,3.5,1.8,3.25,3.75,1.67,3.25,4.75,1.57,3.5,5
"23","E0",2000-08-26,"Ipswich","Sunderland",1,0,"H",0,0,"D",21830,"Graham Poll",14,9,5,3,1,0,7,6,10,12,3,10,1,1,0,0,10,10,2.3,3.2,2.65,2.35,3,2.35,2.75,3.25,2.2,2.5,3.2,2.5,2.5,3.1,2.5
"24","E0",2000-08-26,"Man City","Coventry",1,2,"A",0,2,"A",34140,"Andy D'Urso",14,9,5,8,1,0,5,5,7,12,3,10,2,3,0,0,20,30,1.95,3.5,3.1,1.9,3,3.1,2.2,3.25,2.75,2,3.25,3.5,2.1,3.2,3
"25","E0",2000-08-26,"Middlesbrough","Leeds",1,2,"A",0,2,"A",31626,"Graham Barber",15,16,8,11,0,0,4,8,12,20,4,5,2,0,0,0,20,0,2.3,3.2,2.65,2.3,3,2.4,2.6,3.4,2.25,2.5,3.2,2.5,2.5,3.1,2.5
"26","E0",2000-08-26,"Newcastle","Tottenham",2,0,"H",1,0,"H",51573,"David Ellaray",15,10,6,2,1,1,4,2,13,10,6,4,0,0,0,0,0,0,1.95,3.4,3.25,2,3,2.9,1.9,3.25,3.4,2,3.25,3.25,1.9,3.25,3.4
"27","E0",2000-08-26,"Southampton","Liverpool",3,3,"D",0,1,"A",15202,"Jeff Winter",14,9,7,4,2,0,7,1,7,6,4,4,0,0,0,0,0,0,4,3.4,1.7,3.3,3,1.85,3.4,3.25,1.9,3.6,3.2,1.95,3.5,3.2,1.9
"28","E0",2000-08-26,"West Ham","Man United",2,2,"D",0,1,"A",25998,"Dermot Gallagher",17,8,8,5,0,2,7,5,12,9,5,1,1,0,0,0,10,0,4.2,3.5,1.65,3.5,3.2,1.75,4,3.2,1.8,4.2,3.4,1.73,4.33,3.4,1.66
"29","E0",2000-08-27,"Aston Villa","Chelsea",1,1,"D",1,1,"D",27056,"Paul Durkin",12,11,9,7,0,0,7,10,13,12,2,0,0,1,0,0,0,10,2.7,3.3,2.2,2.35,3,2.35,3,3.2,2.1,2.8,3.25,2.2,3.2,3.2,2
"30","E0",2000-09-05,"Leeds","Man City",1,2,"A",0,2,"A",40055,"Graham Poll",6,8,1,3,1,1,9,4,18,24,2,2,2,2,0,0,20,20,1.33,4.2,6.8,1.4,3.6,5.5,1.45,3.6,6.5,1.35,4,8,1.4,3.75,7
